Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"MAAT PHARMA";FR0012634822;MAAT;"Euronext Paris";EUR;7.16;7.20;7.02;7.16;"12/12/2023 17:12";CET;3252;23263.10;7.16;12/12/2023
MADE;FR0010328302;MLMAD;"Euronext Access Paris";EUR;7.50;7.50;7.50;7.50;"11/12/2023 11:30";CET;14;105.00;7.50;12/12/2023
MAGILLEM;FR0010827741;MLMGL;"Euronext Access Paris";EUR;19.90;19.90;19.90;19.90;"12/12/2023 16:30";CET;5;99.50;19.90;12/12/2023
"MAIS.ANTOINE BAUD";FR0000061657;MLMAB;"Euronext Access Paris";EUR;192.00;192.00;192.00;192.00;"12/12/2023 17:19";CET;2;384.00;192.00;12/12/2023
"MAISON CLIO BLUE";FR0011092089;MLCLI;"Euronext Access Paris";EUR;1.98;1.98;1.98;1.98;"08/12/2023 16:30";CET;35;69.30;1.98;12/12/2023
"MAISONS DU MONDE";FR0013153541;MDM;"Euronext Paris";EUR;5.055;5.11;4.918;4.982;"12/12/2023 17:35";CET;63800;318572.22;4.982;12/12/2023
"MAKING SCIENCE";ES0105463006;ALMKS;"Euronext Growth Paris";EUR;12.40;12.40;12.40;12.40;"12/12/2023 11:30";CET;1;12.40;12.40;12/12/2023
"MALTERIES FCO-BEL.";FR0000030074;MALT;"Euronext Paris";EUR;620.00;620.00;620.00;620.00;"12/12/2023 11:30";CET;1;620.00;620.00;12/12/2023
"MANITOU BF";FR0000038606;MTU;"Euronext Paris";EUR;22.05;22.40;21.65;21.65;"12/12/2023 17:35";CET;7892;172695.70;21.65;12/12/2023
"MAQ ADMON. URBANAS";ES0105447009;MLMAQ;"Euronext Access Paris";EUR;8.30;8.30;8.30;8.30;"27/01/2020 11:30";CET;1;8.30;8.30;12/12/2023
"MARE NOSTRUM";FR0013400835;ALMAR;"Euronext Growth Paris";EUR;0.68;0.705;0.68;0.705;"12/12/2023 14:08";CET;1045;728.47;0.705;12/12/2023
"MAROC TELECOM";MA0000011488;IAM;"Euronext Paris";EUR;8.55;8.70;8.55;8.70;"12/12/2023 10:31";CET;1817;15780.90;8.70;12/12/2023
MASTRAD;FR0004155687;ALMAS;"Euronext Growth Paris";EUR;0.0194;0.02;0.0184;0.02;"11/12/2023 17:35";CET;34858;675.47;0.02;12/12/2023
"MASTRAD BS29";FR0013472446;MASBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;-;-
"MAUNA KEA TECH";FR0010609263;ALMKT;"Euronext Growth Paris";EUR;0.4175;0.4245;0.4165;0.418;"12/12/2023 17:28";CET;74920;31345.18;0.418;12/12/2023
"MAUREL ET PROM";FR0000051070;MAU;"Euronext Paris";EUR;5.94;6.015;5.82;5.845;"12/12/2023 17:35";CET;182019;1071714.13;5.845;12/12/2023
MBWS;FR0000060873;MBWS;"Euronext Paris";EUR;2.70;2.71;2.68;2.69;"12/12/2023 17:35";CET;9024;24344.13;2.69;12/12/2023
"MBWS BSAR 2023";FR0013066313;MBWSZ;"Euronext Paris";EUR;0.001;0.001;0.001;0.001;"10/11/2023 17:19";CET;58000;58.01;0.001;12/12/2023
"MCPHY ENERGY";FR0011742329;MCPHY;"Euronext Paris";EUR;3.388;3.388;3.33;3.352;"12/12/2023 17:35";CET;58784;197130.52;3.352;12/12/2023
MDV;FR0014006PT9;MLMDV;"Euronext Access Paris";EUR;9.40;9.40;9.40;9.40;"31/07/2023 11:30";CET;10;94.00;9.40;12/12/2023
"MEDESIS PHARMA";FR0010844464;ALMDP;"Euronext Growth Paris";EUR;0.87;0.91;0.86;0.882;"12/12/2023 16:23";CET;6066;5398.66;0.882;12/12/2023
"MEDIA 6";FR0000064404;EDI;"Euronext Paris";EUR;8.30;8.30;8.30;8.30;"07/12/2023 11:23";CET;80;664.00;8.30;12/12/2023
"MEDIA LAB";IT0005324105;MLLAB;"Euronext Access Paris";EUR;1.20;1.20;1.20;1.20;"03/07/2023 14:28";CET;55;66.00;1.20;12/12/2023
"MEDIA MAKER";IT0005380438;ALKER;"Euronext Growth Paris";EUR;1.05;1.05;1.05;1.05;"13/12/2022 11:30";CET;1;1.05;1.05;12/12/2023
MEDIANTECHNOLOGIES;FR0011049824;ALMDT;"Euronext Growth Paris";EUR;4.24;4.31;4.22;4.25;"12/12/2023 17:26";CET;4702;19973.12;4.25;12/12/2023
MEDINCELL;FR0004065605;MEDCL;"Euronext Paris";EUR;6.90;7.07;6.27;6.67;"12/12/2023 17:35";CET;141139;957559.72;6.67;12/12/2023
"MEDIOCREDITO EUROP";IT0004844848;MLMCE;"Euronext Access Paris";EUR;4.30;4.30;4.30;4.30;"28/11/2012 10:24";CET;100;430.00;4.30;12/12/2023
"MEMSCAP REGPT";FR0010298620;MEMS;"Euronext Paris";EUR;6.22;6.22;5.98;6.04;"12/12/2023 17:35";CET;52091;316164.30;6.04;12/12/2023
MERCIALYS;FR0010241638;MERY;"Euronext Paris";EUR;8.97;8.985;8.83;8.855;"12/12/2023 17:35";CET;224035;1990945.11;8.855;12/12/2023
"MERIDIA RE IV";ES0105559001;MLMIV;"Euronext Access Paris";EUR;18.55;18.55;18.55;18.55;"02/07/2021 00:00";CET;-;-;17.70;12/12/2023
MERSEN;FR0000039620;MRN;"Euronext Paris";EUR;33.85;33.85;32.90;32.90;"12/12/2023 18:20";CET;24956;831948.05;32.90;12/12/2023
"METABOLIC EXPLORER";FR0004177046;METEX;"Euronext Paris";EUR;0.351;0.351;0.324;0.3265;"12/12/2023 17:35";CET;157127;53393.23;0.3265;12/12/2023
METALLIANCE;FR0010492181;MLETA;"Euronext Access Paris";EUR;8.85;8.85;8.85;8.85;"08/12/2023 11:30";CET;50;442.50;8.85;12/12/2023
METAVISIO;FR00140066X4;ALTHO;"Euronext Growth Paris";EUR;0.73;0.732;0.692;0.724;"12/12/2023 17:35";CET;31647;22431.05;0.724;12/12/2023
METHANOR;FR0011217710;ALMET;"Euronext Growth Paris";EUR;3.18;3.18;3.12;3.12;"12/12/2023 17:27";CET;154;482.58;3.12;12/12/2023
"METRICS IN BALANCE";BE0974328602;MLMIB;"Euronext Access Paris";EUR;0.18;0.18;0.18;0.18;"20/11/2023 16:30";CET;1000;180.00;0.18;12/12/2023
"METROPOLE TV";FR0000053225;MMT;"Euronext Paris";EUR;12.80;12.84;12.50;12.58;"12/12/2023 18:20";CET;61859;779901.09;12.58;12/12/2023
MEXEDIA;IT0005450819;ALMEX;"Euronext Growth Paris";EUR;16.50;17.60;16.50;16.50;"11/12/2023 16:28";CET;114;1892.00;16.50;12/12/2023
"MG INTERNATIONAL";FR0010204453;ALMGI;"Euronext Growth Paris";EUR;5.35;5.35;5.20;5.20;"12/12/2023 16:30";CET;903;4695.90;5.20;12/12/2023
"MGI DIGITAL GRAPHI";FR0010353888;ALMDG;"Euronext Growth Paris";EUR;17.00;17.42;16.72;17.34;"12/12/2023 17:29";CET;3797;64934.66;17.34;12/12/2023
MICHELIN;FR001400AJ45;ML;"Euronext Paris";EUR;32.25;32.31;31.84;31.88;"12/12/2023 17:35";CET;1743659;55678676.55;31.88;12/12/2023
MICROPOLE;FR0000077570;ALMIC;"Euronext Growth Paris";EUR;1.01;1.015;1.01;1.01;"12/12/2023 15:04";CET;9607;9748.02;1.01;12/12/2023
"MIGUET ET ASSOCIES";FR0010500363;MLNMA;"Euronext Access Paris";EUR;0.27;0.27;0.27;0.27;"08/12/2023 11:33";CET;2000;540.00;0.27;12/12/2023
MILIBOO;FR0013053535;ALMLB;"Euronext Growth Paris";EUR;1.72;1.72;1.68;1.68;"12/12/2023 17:13";CET;5649;9609.73;1.68;12/12/2023
MINT;FR0004172450;ALBUD;"Euronext Growth Paris";EUR;3.40;3.50;3.40;3.50;"12/12/2023 17:35";CET;1694;5869.62;3.50;12/12/2023
MND;FR00140050Q2;ALMND;"Euronext Growth Paris";EUR;0.78;0.816;0.77;0.794;"12/12/2023 17:35";CET;2465;1948.39;0.794;12/12/2023
"MON COURTIER ENERG";FR001400H3A0;ALMCE;"Euronext Growth Paris";EUR;7.411;7.50;7.41;7.50;"12/12/2023 17:35";CET;254;1904.64;7.50;12/12/2023
"MONCEY (FIN.) NOM.";FR0000076986;FMONC;"Euronext Paris";EUR;7100.00;7100.00;7050.00;7050.00;"12/12/2023 11:13";CET;4;28300.00;7050.00;12/12/2023
MONTEA;BE0003853703;MONT;"Euronext Brussels, Paris";EUR;84.00;84.80;82.60;83.00;"12/12/2023 17:35";CET;30585;2549458.30;83.00;12/12/2023
"MONTEPINO LOGISTIC";ES0105549002;MLMTP;"Euronext Access Paris";EUR;9.95;9.95;9.95;9.95;"06/12/2023 11:30";CET;1000;9950.00;9.95;12/12/2023
MOULINVEST;FR0011033083;ALMOU;"Euronext Growth Paris";EUR;22.70;22.85;22.60;22.85;"12/12/2023 17:35";CET;1722;39082.30;22.85;12/12/2023
"MR BRICOLAGE";FR0004034320;ALMRB;"Euronext Growth Paris";EUR;8.24;8.38;8.22;8.26;"12/12/2023 17:28";CET;825;6803.90;8.26;12/12/2023
MUNIC;FR0013462231;ALMUN;"Euronext Growth Paris";EUR;0.85;0.86;0.85;0.86;"12/12/2023 10:31";CET;601;514.57;0.86;12/12/2023
"MUTTER VENTURES";ES0105697009;MLMUT;"Euronext Access Paris";EUR;3.45;3.45;3.45;3.45;"15/09/2023 11:30";CET;30;103.50;3.45;12/12/2023
MYHOTELMATCH;FR001400IE67;MHM;"Euronext Paris";EUR;0.925;0.9449;0.918;0.93;"12/12/2023 17:35";CET;1974;1838.02;0.93;12/12/2023
NACON;FR0013482791;NACON;"Euronext Paris";EUR;1.584;1.612;1.57;1.578;"12/12/2023 17:35";CET;81747;129832.19;1.578;12/12/2023
NAMR;FR0014003J32;ALNMR;"Euronext Growth Paris";EUR;0.88;0.88;0.88;0.88;"12/12/2023 09:00";CET;22;19.36;0.88;12/12/2023
NANOBIOTIX;FR0011341205;NANO;"Euronext Paris";EUR;5.14;5.16;5.04;5.07;"12/12/2023 17:35";CET;56395;287371.63;5.07;12/12/2023
NEOEN;FR0011675362;NEOEN;"Euronext Paris";EUR;27.88;28.04;26.64;26.72;"12/12/2023 17:35";CET;186346;5055796.72;26.72;12/12/2023
NEOLIFE;FR0011636083;ALNLF;"Euronext Growth Paris";EUR;0.0736;0.0779;0.0736;0.0745;"12/12/2023 17:05";CET;170896;13115.01;0.0745;12/12/2023
NEOVACS;FR001400HDX0;ALNEV;"Euronext Growth Paris";EUR;0.0001;0.0002;0.0001;0.0002;"12/12/2023 17:13";CET;52489772;7739.02;0.0002;12/12/2023
NETGEM;FR0004154060;ALNTG;"Euronext Growth Paris";EUR;1.00;1.02;0.99;0.994;"12/12/2023 17:35";CET;4475;4464.08;0.994;12/12/2023
"NETMEDIA GROUP";FR0000072993;ALNMG;"Euronext Growth Paris";EUR;0.0678;0.0679;0.0678;0.0679;"12/12/2023 11:22";CET;610;41.43;0.0679;12/12/2023
NEURONES;FR0004050250;NRO;"Euronext Paris";EUR;40.05;40.55;40.00;40.00;"12/12/2023 17:35";CET;2576;103432.70;40.00;12/12/2023
NEXANS;FR0000044448;NEX;"Euronext Paris";EUR;76.10;76.20;73.70;74.05;"12/12/2023 17:36";CET;86897;6478710.30;74.05;12/12/2023
NEXITY;FR0010112524;NXI;"Euronext Paris";EUR;14.44;14.45;13.92;13.92;"12/12/2023 18:20";CET;131644;1859618.60;13.92;12/12/2023
NEXTEDIA;FR0004171346;ALNXT;"Euronext Growth Paris";EUR;0.502;0.524;0.502;0.506;"12/12/2023 17:35";CET;82011;41764.15;0.506;12/12/2023
"NFL BIOSCIENCES";FR0014003XT0;ALNFL;"Euronext Growth Paris";EUR;1.56;1.57;1.51;1.52;"12/12/2023 17:13";CET;47532;72833.20;1.52;12/12/2023
NHOA;FR0012650166;NHOA;"Euronext Paris";EUR;0.658;0.658;0.624;0.64;"12/12/2023 17:35";CET;25956;16685.48;0.64;12/12/2023
NICOX;FR0013018124;ALCOX;"Euronext Growth Paris";EUR;0.38;0.39;0.38;0.385;"12/12/2023 17:35";CET;31242;11972.20;0.385;12/12/2023
NOKIA;FI0009000681;NOKIA;"Euronext Paris";EUR;2.905;3.022;2.864;2.988;"12/12/2023 17:38";CET;254859;755809.84;2.988;12/12/2023
"NORTEM BIOGROUP";ES0105719001;MLBIO;"Euronext Access Paris";EUR;5.40;5.40;5.40;5.40;"27/09/2023 16:30";CET;4;21.60;5.40;12/12/2023
NOVACYT;FR0010397232;ALNOV;"Euronext Growth Paris";EUR;0.794;0.81;0.7655;0.7735;"12/12/2023 17:28";CET;224675;176837.50;0.7735;12/12/2023
"NOVATECH IND.";FR0000185464;MLNOV;"Euronext Access Paris";EUR;9.20;9.20;9.20;9.20;"12/12/2023 16:30";CET;100;920.00;9.20;12/12/2023
NR21;FR0014001PV6;NR21;"Euronext Paris";EUR;60.00;60.00;56.50;56.50;"08/12/2023 13:31";CET;27;1581.50;56.50;12/12/2023
"NRJ GROUP";FR0000121691;NRG;"Euronext Paris";EUR;7.18;7.18;7.06;7.06;"12/12/2023 17:35";CET;14820;105326.00;7.06;12/12/2023
"NSC GROUPE";FR0000064529;ALNSC;"Euronext Growth Paris";EUR;42.20;50.00;42.20;50.00;"11/12/2023 16:30";CET;11;479.80;50.00;12/12/2023
NSE;FR0004065639;ALNSE;"Euronext Growth Paris";EUR;25.60;25.60;25.40;25.40;"12/12/2023 17:29";CET;45;1149.60;25.40;12/12/2023
OBER;FR0010330613;ALOBR;"Euronext Growth Paris";EUR;11.72;11.72;11.72;11.72;"12/12/2023 16:30";CET;10139;118829.08;11.72;12/12/2023
OBIZ;FR0014003711;ALBIZ;"Euronext Growth Paris";EUR;6.10;6.10;6.08;6.10;"12/12/2023 15:47";CET;935;5689.12;6.10;12/12/2023
"OCTOPUS BIOSAFETY";FR0013310281;MLOCT;"Euronext Access Paris";EUR;0.25;0.25;0.25;0.25;"04/12/2023 11:30";CET;300;75.00;0.25;12/12/2023
OENEO;FR0000052680;SBT;"Euronext Paris";EUR;12.30;12.30;12.05;12.20;"12/12/2023 17:35";CET;14454;175945.55;12.20;12/12/2023
"OK PROPERTIES";ES0105698007;MLOKP;"Euronext Access Paris";EUR;12.00;12.00;12.00;12.00;"29/03/2023 00:00";CET;-;-;12.00;12/12/2023
"OL GROUPE";FR0010428771;OLG;"Euronext Paris";EUR;2.04;2.05;2.00;2.00;"12/12/2023 17:07";CET;4156;8410.38;2.00;12/12/2023
"OMER-DECUGIS & CIE";FR0014003T71;ALODC;"Euronext Growth Paris";EUR;4.13;4.13;4.12;4.12;"12/12/2023 14:39";CET;1089;4494.20;4.12;12/12/2023
"ONCODESIGN PM";FR001400CM63;ALOPM;"Euronext Growth Paris";EUR;1.925;1.98;1.925;1.96;"12/12/2023 15:20";CET;2672;5231.31;1.96;12/12/2023
"ONE EXPERIENCE";FR0013266772;ALEXP;"Euronext Growth Paris";EUR;0.58;0.58;0.58;0.58;"07/12/2023 09:00";CET;100;58.00;0.58;12/12/2023
ONLINEFORMAPRO;FR0004174712;MLONL;"Euronext Access Paris";EUR;3.40;3.40;3.40;3.40;"11/12/2023 16:30";CET;256;870.40;3.40;12/12/2023
ORANGE;FR0000133308;ORA;"Euronext Paris";EUR;11.096;11.176;10.996;11.16;"12/12/2023 17:35";CET;4284113;47716531.56;11.16;12/12/2023
ORAPI;FR0000075392;ORAP;"Euronext Paris";EUR;6.44;6.44;6.44;6.44;"12/12/2023 17:23";CET;1192;7676.48;6.44;12/12/2023
"ORBIS PROPERTIES";ES0105490009;MLORB;"Euronext Access Paris";EUR;13.60;13.60;13.60;13.60;"30/07/2020 00:00";CET;-;-;13.20;12/12/2023
ORDISSIMO;FR0013318052;ALORD;"Euronext Growth Paris";EUR;0.386;0.402;0.386;0.39;"12/12/2023 12:10";CET;2005;795.71;0.39;12/12/2023
OREGE;FR0010609206;OREGE;"Euronext Paris";EUR;0.406;0.418;0.406;0.407;"12/12/2023 17:35";CET;9751;3969.77;0.407;12/12/2023
ORINOQUIA;ES0105534004;MLORQ;"Euronext Access Paris";EUR;1.32;1.32;1.32;1.32;"03/11/2023 16:30";CET;5000;6600.00;1.32;12/12/2023
ORPEA;FR0000184798;ORP;"Euronext Paris";EUR;0.0145;0.0153;0.0142;0.0152;"12/12/2023 17:37";CET;314300191;4727556.50;0.0152;12/12/2023
"OSE IMMUNO";FR0012127173;OSE;"Euronext Paris";EUR;4.11;4.125;3.915;3.915;"12/12/2023 17:38";CET;70314;281198.81;3.915;12/12/2023
OSMOSUN;FR001400IUV6;ALWTR;"Euronext Growth Paris";EUR;8.37;8.37;8.10;8.10;"12/12/2023 16:32";CET;3375;27660.98;8.10;12/12/2023
OSMOZIS;FR0013231180;ALOSM;"Euronext Growth Paris";EUR;10.10;10.30;10.00;10.30;"12/12/2023 17:27";CET;63;635.80;10.30;12/12/2023
OVH;FR0014005HJ9;OVH;"Euronext Paris";EUR;8.75;8.775;8.385;8.465;"12/12/2023 18:20";CET;65305;561615.82;8.465;12/12/2023
"PACTE NOVATION";FR0000077992;MLPAC;"Euronext Access Paris";EUR;8.00;8.00;8.00;8.00;"04/12/2023 11:30";CET;1;8.00;8.00;12/12/2023
PAREF;FR0010263202;PAR;"Euronext Paris";EUR;46.80;47.80;46.80;47.80;"12/12/2023 17:35";CET;199;9422.20;47.80;12/12/2023
PARROT;FR0004038263;PARRO;"Euronext Paris";EUR;2.15;2.23;2.12;2.18;"12/12/2023 17:35";CET;6522;14236.52;2.18;12/12/2023
"PART.INDLES MINI.";FR0006823092;MLHOP;"Euronext Access Paris";EUR;11.10;11.10;11.10;11.10;"12/12/2023 16:30";CET;8;88.80;11.10;12/12/2023
"PARX MATERIALS NV";NL0012650535;MLPRX;"Euronext Access Paris";EUR;0.54;0.54;0.54;0.54;"11/12/2023 17:26";CET;66800;36072.00;0.54;12/12/2023
PASSAT;FR0000038465;PSAT;"Euronext Paris";EUR;4.52;4.60;4.52;4.52;"12/12/2023 15:46";CET;2405;11024.76;4.52;12/12/2023
"PATRIMOINE ET COMM";FR0011027135;PAT;"Euronext Paris";EUR;18.35;18.50;18.35;18.50;"12/12/2023 16:47";CET;249;4584.15;18.50;12/12/2023
"PAULIC MEUNERIE";FR0013479730;ALPAU;"Euronext Growth Paris";EUR;2.57;2.58;2.55;2.58;"12/12/2023 17:22";CET;1605;4119.43;2.58;12/12/2023
"PERNOD RICARD";FR0000120693;RI;"Euronext Paris";EUR;157.00;157.45;155.70;155.95;"12/12/2023 17:38";CET;293907;46132833.60;155.95;12/12/2023
"PERRIER (GERARD)";FR0000061459;PERR;"Euronext Paris";EUR;98.40;98.80;98.40;98.80;"12/12/2023 17:35";CET;108;10645.20;98.80;12/12/2023
"PERSEIDA RENTA";ES0105612008;MLPER;"Euronext Access Paris";EUR;0.71;0.71;0.71;0.71;"09/06/2022 16:30";CET;500;355.00;0.71;12/12/2023
"PET SERVICE";NL0015001HZ9;MLPET;"Euronext Access Paris";EUR;5.00;5.00;5.00;5.00;"08/12/2023 16:56";CET;17450;87250.00;5.00;12/12/2023
"PEUGEOT INVEST";FR0000064784;PEUG;"Euronext Paris";EUR;101.80;101.80;101.00;101.60;"12/12/2023 17:35";CET;2863;290579.20;101.60;12/12/2023
PHARMASIMPLE;BE0974429624;ALPHS;"Euronext Growth Paris";EUR;0.0169;0.0169;0.0128;0.0129;"15/05/2023 17:35";CET;388059;5894.69;0.0129;12/12/2023
PHARNEXT;FR001400JXB0;ALPHA;"Euronext Growth Paris";EUR;0.0007;0.0007;0.0004;0.0005;"12/12/2023 17:35";CET;231485962;129017.45;0.0005;12/12/2023
"PHAXIAM Tx";FR001400K4B1;PHXM;"Euronext Paris";EUR;4.74;4.88;4.65;4.78;"12/12/2023 17:35";CET;8896;42610.68;4.78;12/12/2023
"PHONE WEB";FR0000185480;MLPHW;"Euronext Access Paris";EUR;0.72;0.72;0.72;0.72;"07/12/2023 11:30";CET;50;36.00;0.72;12/12/2023
"PHOTONIKE CAPITAL";BE0948608451;MLPHO;"Euronext Access Paris";EUR;0.16;0.16;0.158;0.158;"12/12/2023 16:30";CET;5125;813.75;0.158;12/12/2023
"PIERRE VAC BSA ACT";FR001400B4H9;VACBS;"Euronext Paris";EUR;0.164;0.17;0.1485;0.17;"12/12/2023 17:35";CET;38080;6351.51;0.17;12/12/2023
"PIERRE VAC BSA CRE";FR001400B4G1;VACBT;"Euronext Paris";EUR;0.36;0.36;0.36;0.36;"08/12/2023 16:51";CET;623;224.28;0.36;12/12/2023
"PIERRE VACANCES";FR0000073041;VAC;"Euronext Paris";EUR;1.56;1.624;1.554;1.62;"12/12/2023 17:35";CET;510287;814734.66;1.62;12/12/2023
"PISCINES DESJOYAUX";FR0000061608;ALPDX;"Euronext Growth Paris";EUR;13.25;13.40;13.00;13.35;"12/12/2023 17:28";CET;2879;38115.95;13.35;12/12/2023
"PIXIUM VISION";FR001400JX97;ALPIX;"Euronext Growth Paris";EUR;0.075;0.0795;0.075;0.0758;"12/12/2023 17:20";CET;29485;2265.47;0.0758;12/12/2023
PLACOPLATRE;FR0000030769;MLPLC;"Euronext Access Paris";EUR;500.00;500.00;500.00;500.00;"10/11/2023 11:30";CET;5;2500.00;500.00;12/12/2023
"PLANT ADVANCED";FR0010785790;ALPAT;"Euronext Growth Paris";EUR;7.70;8.00;7.50;8.00;"12/12/2023 16:32";CET;1414;10909.20;8.00;12/12/2023
"PLANT ADVANCED BS";FR0011844067;PATBS;"Euronext Growth Paris";EUR;0.01;0.01;0.01;0.01;"14/11/2023 15:29";CET;240;2.40;0.01;12/12/2023
"PLAST.VAL LOIRE";FR0013252186;PVL;"Euronext Paris";EUR;2.59;2.60;2.56;2.56;"12/12/2023 17:35";CET;14510;37701.68;2.56;12/12/2023
"PLASTIC OMNIUM";FR0000124570;POM;"Euronext Paris";EUR;11.81;11.96;11.52;11.55;"12/12/2023 17:36";CET;163791;1920675.91;11.55;12/12/2023
POUJOULAT;FR0000066441;ALPJT;"Euronext Growth Paris";EUR;18.70;19.00;18.60;18.60;"12/12/2023 17:35";CET;481;9007.05;18.60;12/12/2023
POULAILLON;FR0013015583;ALPOU;"Euronext Growth Paris";EUR;4.44;4.58;4.44;4.58;"12/12/2023 17:35";CET;84;373.10;4.58;12/12/2023
POXEL;FR0012432516;POXEL;"Euronext Paris";EUR;0.348;0.3525;0.343;0.343;"12/12/2023 17:35";CET;28254;9821.24;0.343;12/12/2023
PRECIA;FR0014004EC4;ALPM;"Euronext Growth Paris";EUR;27.00;27.10;26.80;27.00;"12/12/2023 16:48";CET;2750;74257.00;27.00;12/12/2023
PREDILIFE;FR0010169920;ALPRE;"Euronext Growth Paris";EUR;5.70;5.75;5.35;5.75;"12/12/2023 14:05";CET;1881;10252.20;5.75;12/12/2023
"PRISMAFLEX INTL";FR0004044600;ALPRI;"Euronext Growth Paris";EUR;5.60;6.38;5.60;6.00;"12/12/2023 17:35";CET;8534;51092.84;6.00;12/12/2023
"PROACTIS SA";FR0004052561;PROAC;"Euronext Paris";EUR;0.082;0.082;0.082;0.082;"12/12/2023 10:01";CET;52;4.26;0.082;12/12/2023
PRODWARE;FR0010313486;ALPRO;"Euronext Growth Paris";EUR;8.45;8.45;8.45;8.45;"12/12/2023 15:05";CET;369;3118.05;8.45;12/12/2023
PRODWAYS;FR0012613610;PWG;"Euronext Paris";EUR;0.925;0.935;0.916;0.934;"12/12/2023 17:35";CET;25235;23277.70;0.934;12/12/2023
PROLOGUE;FR0010380626;ALPRG;"Euronext Growth Paris";EUR;0.222;0.26;0.222;0.233;"12/12/2023 17:35";CET;248428;60259.47;0.233;12/12/2023
"PROLOGUE BSA";FR0013398617;PROBT;"Euronext Growth Paris";EUR;0.001;0.001;0.001;0.001;"08/12/2023 15:08";CET;79112;79.11;0.001;12/12/2023
PROP.IMMEUBLES;FR0000061376;MLPRI;"Euronext Access Paris";EUR;25.00;25.00;25.00;25.00;"07/11/2023 11:30";CET;250;6250.00;25.00;12/12/2023
"PUBLICIS GROUPE SA";FR0000130577;PUB;"Euronext Paris";EUR;81.28;82.54;81.28;82.40;"12/12/2023 17:35";CET;530616;43653491.32;82.40;12/12/2023
QUADIENT;FR0000120560;QDT;"Euronext Paris";EUR;19.62;19.76;19.46;19.54;"12/12/2023 17:35";CET;19415;379911.02;19.54;12/12/2023
QUADPACK;ES0105118006;ALQP;"Euronext Growth Paris";EUR;20.80;20.80;20.80;20.80;"12/12/2023 09:00";CET;1;20.80;20.80;12/12/2023
"QUANTUM GENOMICS";FR0011648971;ALQGC;"Euronext Growth Paris";EUR;0.097;0.10;0.097;0.098;"12/12/2023 17:07";CET;7121;694.04;0.098;12/12/2023
QWAMPLIFY;FR0010889386;ALQWA;"Euronext Growth Paris";EUR;3.57;3.57;3.48;3.48;"12/12/2023 17:00";CET;4917;17239.49;3.48;12/12/2023
"QWAMPLIFY BSAANE";FR0013472677;QWABS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;-;-
"RACING FORCE";IT0005466963;ALRFG;"Euronext Growth Paris";EUR;5.26;5.26;5.26;5.26;"12/12/2023 09:00";CET;1;5.26;5.26;12/12/2023
RALLYE;FR0000060618;RAL;"Euronext Paris";EUR;0.163;0.1656;0.1542;0.158;"12/12/2023 17:35";CET;463737;72944.06;0.158;12/12/2023
"RAMSAY GEN SANTE";FR0000044471;GDS;"Euronext Paris";EUR;19.10;19.10;18.95;19.00;"12/12/2023 15:51";CET;262;4975.70;19.00;12/12/2023
"RAPID NUTRITION";GB00BLG2TX24;ALRPD;"Euronext Growth Paris";EUR;0.0001;0.0001;0.0001;0.0001;"12/12/2023 17:04";CET;6975000;697.50;0.0001;12/12/2023
REALITES;FR0011858190;ALREA;"Euronext Growth Paris";EUR;17.05;17.10;16.80;16.95;"12/12/2023 17:14";CET;241;4072.10;16.95;12/12/2023
"REMY COINTREAU";FR0000130395;RCO;"Euronext Paris";EUR;104.90;105.30;103.15;103.35;"12/12/2023 17:38";CET;140260;14535423.20;103.35;12/12/2023
RENAULT;FR0000131906;RNO;"Euronext Paris";EUR;38.50;38.74;37.20;37.615;"12/12/2023 17:35";CET;1433915;54157290.16;37.615;12/12/2023
"RES GESTAE SOCIMI";ES0105550000;MLJDL;"Euronext Access Paris";EUR;7.00;7.00;7.00;7.00;"29/06/2021 00:00";CET;-;-;6.55;12/12/2023
"REWORLD MEDIA";FR0010820274;ALREW;"Euronext Growth Paris";EUR;3.50;3.50;3.39;3.42;"12/12/2023 17:35";CET;22354;76371.92;3.42;12/12/2023
REXEL;FR0010451203;RXL;"Euronext Paris";EUR;24.46;24.80;24.39;24.63;"12/12/2023 17:35";CET;1094203;26920403.64;24.63;12/12/2023
RIBER;FR0000075954;ALRIB;"Euronext Growth Paris";EUR;1.62;1.635;1.60;1.63;"12/12/2023 17:35";CET;19372;31283.90;1.63;12/12/2023
ROBERTET;FR0000039091;RBT;"Euronext Paris";EUR;764.00;783.00;764.00;783.00;"12/12/2023 17:35";CET;689;531645.00;783.00;12/12/2023
"ROBERTET CDV 87";FR0000045619;CBR;"Euronext Paris";EUR;188.00;188.00;188.00;188.00;"02/11/2022 11:30";CET;4;752.00;188.00;12/12/2023
"ROBERTET CI";FR0000045601;CBE;"Euronext Paris";EUR;757.90;757.90;757.90;757.90;"12/12/2023 11:30";CET;1;757.90;757.90;12/12/2023
"ROCHE BOBOIS";FR0013344173;RBO;"Euronext Paris";EUR;51.20;51.20;49.00;50.00;"12/12/2023 17:35";CET;2874;142683.50;50.00;12/12/2023
